timestamp,equipment_id,oil_temp_top_celsius,oil_temp_bottom_celsius,load_mva,ambient_temp_celsius,cooling_fan_status,winding_temp_celsius
2023-01-01,TRANS_001,67.9,57.7,45.2,6.7,0,78.1
2023-01-01,TRANS_002,72.9,60.4,61.4,4.2,0,84.4
2023-01-01,TRANS_003,66.2,54.0,31.0,12.5,0,75.5
2023-01-01,TRANS_004,71.2,57.6,52.7,6.3,1,80.6
2023-01-01,TRANS_005,72.3,59.3,58.8,12.3,0,82.1
2023-01-01,TRANS_006,71.0,60.4,50.6,9.6,1,82.8
2023-01-01,TRANS_007,70.0,57.2,47.8,7.7,1,82.0
2023-01-01,TRANS_008,70.6,57.4,48.0,10.0,0,79.2
2023-01-01,TRANS_009,73.9,63.6,54.7,5.6,0,83.3
2023-01-01,TRANS_010,68.2,56.3,39.4,5.1,1,77.0
2023-01-01,TRANS_011,73.7,63.6,60.2,13.1,1,84.8
2023-01-01,TRANS_012,73.5,60.1,58.5,9.2,0,86.3
2023-01-01,TRANS_013,76.9,65.0,62.7,8.6,1,88.7
2023-01-01,TRANS_014,69.5,57.5,51.3,11.4,0,79.0
2023-01-01,TRANS_015,70.8,59.2,49.2,7.5,1,81.5
2023-01-01,TRANS_016,66.9,55.7,40.3,14.9,0,76.1
2023-01-01,TRANS_017,65.1,52.4,44.7,12.7,0,74.6
2023-01-01,TRANS_018,68.4,55.9,48.7,8.1,0,80.2
2023-01-01,TRANS_019,70.1,59.6,58.2,3.2,0,81.7
2023-01-01,TRANS_020,74.5,61.1,65.2,9.6,0,86.4
2023-01-01,TRANS_021,71.3,59.3,57.8,13.9,1,82.3
2023-01-01,TRANS_022,68.9,58.1,48.4,6.4,0,79.3
2023-01-01,TRANS_023,74.5,62.5,72.7,8.9,0,88.0
2023-01-01,TRANS_024,75.5,64.9,60.6,8.6,1,86.6
2023-01-01,TRANS_025,69.0,57.7,50.6,7.6,0,79.0
2023-01-01,TRANS_026,71.1,59.8,48.1,10.0,1,80.3
2023-01-01,TRANS_027,67.4,53.4,43.3,10.9,0,75.3
2023-01-01,TRANS_028,71.7,58.2,60.0,13.2,1,81.5
2023-01-01,TRANS_029,72.1,58.3,48.4,10.2,0,84.2
2023-01-01,TRANS_030,74.9,61.5,65.0,12.4,1,84.8
2023-01-01,TRANS_031,65.6,53.1,41.6,5.4,0,75.4
2023-01-01,TRANS_032,71.0,57.1,51.3,8.8,0,82.0
2023-01-01,TRANS_033,67.4,56.2,31.9,7.5,0,76.9
2023-01-01,TRANS_034,69.4,58.7,52.5,12.0,0,79.0
2023-01-01,TRANS_035,73.5,62.5,67.1,6.4,1,85.1
2023-01-01,TRANS_036,70.8,58.7,56.0,6.5,0,81.8
2023-01-01,TRANS_037,71.7,60.7,57.6,7.5,1,81.6
2023-01-01,TRANS_038,74.5,62.2,63.2,7.2,1,87.4
2023-01-01,TRANS_040,70.4,56.5,43.6,9.4,1,78.6
2023-01-01,TRANS_041,72.1,61.2,51.3,14.0,0,84.6
2023-01-01,TRANS_042,64.5,52.0,35.9,7.6,0,71.8
2023-01-01,TRANS_043,65.5,52.6,39.9,8.2,0,75.6
2023-01-01,TRANS_044,72.4,60.2,54.9,8.4,1,83.6
2023-01-01,TRANS_045,70.8,58.9,48.5,14.6,1,83.3
2023-01-01,TRANS_046,70.2,56.3,46.1,9.0,1,80.0
2023-01-01,TRANS_047,70.5,58.4,48.7,10.7,1,80.5
